FLIGHT_DATE,PAIRING_POSITION,EQUIPMENT,n_bid,n_reserve,workload
2023-01-01,CA,321,30,10,0.33
2023-01-01,CA,332,46,15,0.33
2023-01-01,CA,717,32,12,0.38
2023-01-01,FA,NA,582,273,0.47
2023-01-01,FO,321,30,14,0.47
2023-01-01,FO,332,47,23,0.49
2023-01-01,FO,717,31,16,0.52
2023-01-02,CA,321,31,16,0.52
2023-01-02,CA,332,49,22,0.45
2023-01-02,CA,717,38,12,0.32
2023-01-02,FA,NA,618,317,0.51
2023-01-02,FO,321,31,15,0.48
2023-01-02,FO,332,48,31,0.65
2023-01-02,FO,717,36,16,0.44
2023-01-03,CA,321,32,14,0.44
2023-01-03,CA,332,44,16,0.36
2023-01-03,CA,717,31,14,0.45
2023-01-03,FA,NA,556,328,0.59
2023-01-03,FO,321,32,14,0.44
2023-01-03,FO,332,44,32,0.73
2023-01-03,FO,717,29,15,0.52
2023-01-04,CA,321,31,15,0.48
2023-01-04,CA,332,43,17,0.4
2023-01-04,CA,717,32,11,0.34
2023-01-04,FA,NA,557,332,0.6
2023-01-04,FO,321,31,15,0.48
2023-01-04,FO,332,43,32,0.74
2023-01-04,FO,717,31,13,0.42
2023-01-05,CA,321,30,15,0.5
2023-01-05,CA,332,48,13,0.27
2023-01-05,CA,717,33,11,0.33
2023-01-05,FA,NA,577,328,0.57
2023-01-05,FO,321,30,15,0.5
2023-01-05,FO,332,49,28,0.57
2023-01-05,FO,717,34,14,0.41
2023-01-06,CA,321,30,15,0.5
2023-01-06,CA,332,45,16,0.36
2023-01-06,CA,717,33,10,0.3
2023-01-06,FA,NA,567,344,0.61
2023-01-06,FO,321,30,15,0.5
2023-01-06,FO,332,46,29,0.63
2023-01-06,FO,717,33,16,0.48
2023-01-07,CA,321,30,12,0.4
2023-01-07,CA,332,48,14,0.29
2023-01-07,CA,717,30,12,0.4
2023-01-07,FA,NA,578,343,0.59
2023-01-07,FO,321,30,14,0.47
2023-01-07,FO,332,49,32,0.65
2023-01-07,FO,717,29,16,0.55
2023-01-08,CA,321,31,15,0.48
2023-01-08,CA,332,46,15,0.33
2023-01-08,CA,717,31,13,0.42
2023-01-08,FA,NA,562,343,0.61
2023-01-08,FO,321,31,13,0.42
2023-01-08,FO,332,46,31,0.67
2023-01-08,FO,717,30,14,0.47
2023-01-09,CA,321,30,15,0.5
2023-01-09,CA,332,48,27,0.56
2023-01-09,CA,717,31,13,0.42
2023-01-09,FA,NA,585,345,0.59
2023-01-09,FO,321,30,15,0.5
2023-01-09,FO,332,48,28,0.58
2023-01-09,FO,717,31,17,0.55
2023-01-10,CA,321,27,15,0.56
2023-01-10,CA,332,43,27,0.63
2023-01-10,CA,717,28,12,0.43
2023-01-10,FA,NA,527,344,0.65
2023-01-10,FO,321,27,17,0.63
2023-01-10,FO,332,43,30,0.7
2023-01-10,FO,717,29,16,0.55
2023-01-11,CA,321,27,16,0.59
2023-01-11,CA,332,44,25,0.57
2023-01-11,CA,717,29,12,0.41
2023-01-11,FA,NA,521,346,0.66
2023-01-11,FO,321,27,14,0.52
2023-01-11,FO,332,43,24,0.56
2023-01-11,FO,717,28,18,0.64
2023-01-12,CA,321,29,17,0.59
2023-01-12,CA,332,42,24,0.57
2023-01-12,CA,717,32,14,0.44
2023-01-12,FA,NA,535,344,0.64
2023-01-12,FO,321,28,17,0.61
2023-01-12,FO,332,41,30,0.73
2023-01-12,FO,717,32,16,0.5
2023-01-13,CA,321,29,17,0.59
2023-01-13,CA,332,43,28,0.65
2023-01-13,CA,717,33,12,0.36
2023-01-13,FA,NA,523,349,0.67
2023-01-13,FO,321,28,18,0.64
2023-01-13,FO,332,43,30,0.7
2023-01-13,FO,717,31,16,0.52
2023-01-14,CA,321,30,14,0.47
2023-01-14,CA,332,47,20,0.43
2023-01-14,CA,717,30,11,0.37
2023-01-14,FA,NA,548,351,0.64
2023-01-14,FO,321,29,15,0.52
2023-01-14,FO,332,49,29,0.59
2023-01-14,FO,717,28,17,0.61
2023-01-15,CA,321,31,17,0.55
2023-01-15,CA,332,40,16,0.4
2023-01-15,CA,717,29,11,0.38
2023-01-15,FA,NA,502,348,0.69
2023-01-15,FO,321,30,18,0.6
2023-01-15,FO,332,41,27,0.66
2023-01-15,FO,717,28,16,0.57
2023-01-16,CA,321,30,17,0.57
2023-01-16,CA,332,45,25,0.56
2023-01-16,CA,717,31,12,0.39
2023-01-16,FA,NA,540,355,0.66
2023-01-16,FO,321,30,18,0.6
2023-01-16,FO,332,44,24,0.55
2023-01-16,FO,717,31,19,0.61
2023-01-17,CA,321,33,18,0.55
2023-01-17,CA,332,43,27,0.63
2023-01-17,CA,717,28,13,0.46
2023-01-17,FA,NA,503,347,0.69
2023-01-17,FO,321,30,18,0.6
2023-01-17,FO,332,42,31,0.74
2023-01-17,FO,717,28,18,0.64
2023-01-18,CA,321,33,17,0.52
2023-01-18,CA,332,41,24,0.59
2023-01-18,CA,717,29,13,0.45
2023-01-18,FA,NA,491,361,0.74
2023-01-18,FO,321,30,19,0.63
2023-01-18,FO,332,43,32,0.74
